label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38
hip hop,-98.19749450683594,79.90445709228516,0.39846837520599365,48.455352783203125,7.013668537139893,12.287861824035645,-4.108726978302002,10.88546371459961,-3.750121831893921,8.881037712097168,-4.102682113647461,5.809953212738037,5.100536346435547,3.6156444549560547,-0.13167060911655426,4.490795135498047,0.12396921962499619,4.075392723083496,-0.3469017744064331,-2.0841662883758545,0.6558679938316345,0.5008256435394287,0.4427213668823242,0.4173920452594757,0.4065268337726593,0.4283389449119568,0.39864227175712585,0.41159966588020325,0.3801616132259369,0.38410037755966187,0.4742470383644104,0.5343204140663147,18.967783122618982,16.00715279851533,19.213216460894518,18.040592560034387,17.61785378483012,17.532757070753487,49.56613643316407
hip hop,-128.38540649414062,83.19197082519531,-1.0147883892059326,49.14425277709961,9.177218437194824,13.253475189208984,0.9841258525848389,12.674948692321777,-5.3598432540893555,8.713970184326172,-1.2669390439987183,7.982791423797607,6.428119659423828,4.060612678527832,0.16308429837226868,2.6637167930603027,0.8008768558502197,4.039668560028076,0.7826024293899536,0.5750213861465454,0.6405989527702332,0.5459573268890381,0.51845383644104,0.48859336972236633,0.45588353276252747,0.459608256816864,0.40911662578582764,0.43826863169670105,0.393455445766449,0.3911859095096588,0.43604475259780884,0.5005009770393372,19.15266928504132,14.72613811566396,18.838345934668993,18.32961133221916,18.032393298122777,18.313079754434057,49.674761436699335
hip hop,-103.25387573242188,41.34864807128906,-11.870146751403809,18.239877700805664,10.18895149230957,18.516923904418945,-2.4034974575042725,2.6010873317718506,-2.840444564819336,3.3047409057617188,-4.307356834411621,0.6906283497810364,0.5936467051506042,9.37785816192627,5.556451797485352,5.467033863067627,4.102386951446533,7.57744836807251,0.8177482485771179,2.8165957927703857,0.2951999008655548,0.29775169491767883,0.32726168632507324,0.3738999366760254,0.35888198018074036,0.40743717551231384,0.3504088819026947,0.34564417600631714,0.5581250190734863,0.46803733706474304,0.4714745581150055,0.37751543521881104,22.802979661104345,15.338523007062824,20.466860913414134,20.039329832891596,20.32061879518185,16.732256000345618,47.39443869176879
hip hop,-79.38534545898438,46.63368225097656,-10.897754669189453,24.63865852355957,13.147000312805176,25.719024658203125,-3.0256314277648926,4.664751052856445,-1.5059107542037964,6.031720161437988,0.21609506011009216,1.873166799545288,1.564872145652771,11.241435050964355,3.8831822872161865,1.5111006498336792,1.2924984693527222,7.016427993774414,0.2738046646118164,1.6634573936462402,0.31866347789764404,0.32163912057876587,0.3412480652332306,0.353843629360199,0.3559030592441559,0.437215656042099,0.38531720638275146,0.3633822798728943,0.6058026552200317,0.516240119934082,0.4570174217224121,0.40160495042800903,24.615269181489204,14.367987203778991,19.349705228522495,19.441912175290973,20.295659235427756,16.03987704073657,47.675101663819234
hip hop,-91.61009216308594,43.82472229003906,-8.845037460327148,23.40345001220703,14.212178230285645,25.049915313720703,-2.555518388748169,3.202428102493286,-1.3464784622192383,6.284634113311768,-0.8843476176261902,1.1669386625289917,2.2895331382751465,11.145044326782227,3.9798195362091064,1.597682237625122,1.2225499153137207,7.581343650817871,0.9633724689483643,2.857464075088501,0.3056987524032593,0.3022915720939636,0.33172327280044556,0.3813927173614502,0.3644971549510956,0.43038302659988403,0.3807511329650879,0.3579753041267395,0.5683910846710205,0.4916640520095825,0.46150869131088257,0.39467111229896545,24.068036950693063,15.064461587536943,19.931949846591223,19.954991327276066,20.61003708259006,16.26151771721193,47.43165089897431
hip hop,-124.53952026367188,116.57807922363281,18.523557662963867,30.206771850585938,5.935883522033691,12.569093704223633,1.654218316078186,6.877914905548096,-6.964028358459473,4.595439910888672,-2.833911418914795,4.023349761962891,2.892228603363037,0.809759795665741,1.812737226486206,1.0788382291793823,-2.2323787212371826,2.506564140319824,-2.142922878265381,0.1741708666086197,0.4963196814060211,0.43444931507110596,0.46377164125442505,0.4300386607646942,0.4590040445327759,0.46593260765075684,0.42093101143836975,0.4477473795413971,0.438626229763031,0.4645225405693054,0.45743057131767273,0.46869096159935,22.23819936142134,14.051174700411547,18.383998932214293,18.268661619253407,16.425098724242797,18.250085162479046,49.38981147931994
hip hop,-99.86175537109375,113.31687927246094,19.4942626953125,24.622447967529297,1.7795716524124146,12.997072219848633,-0.21331830322742462,7.509822845458984,-6.726537704467773,3.709451913833618,-0.6769587397575378,7.259800434112549,2.084345817565918,-0.5490753054618835,-0.3939170241355896,2.042811393737793,-3.0724472999572754,1.6655781269073486,-2.2713022232055664,0.121493399143219,0.510262131690979,0.42938223481178284,0.4712351858615875,0.42018377780914307,0.42832398414611816,0.40735307335853577,0.3795519769191742,0.4370781481266022,0.4628109335899353,0.502835750579834,0.505290687084198,0.5105551481246948,22.4375884890145,13.909278423504633,17.917481479961005,17.982723903735376,16.24473135694129,17.281683497225398,49.34110061553966
hip hop,-145.63816833496094,102.84873962402344,18.423593521118164,24.871257781982422,2.9238688945770264,16.33672332763672,0.8231859803199768,7.546558856964111,-5.665616035461426,3.3783926963806152,0.6292461156845093,6.899876594543457,1.7653111219406128,0.6455389261245728,-0.09095998108386993,2.9209470748901367,-3.486813545227051,2.001272439956665,-2.0071487426757812,0.042537905275821686,0.4890228807926178,0.4141070544719696,0.4669671356678009,0.4205685257911682,0.43581244349479675,0.42091867327690125,0.3930823504924774,0.45515990257263184,0.49315816164016724,0.5254516005516052,0.474589467048645,0.4642854332923889,22.28631493725466,14.058378279941094,18.659065385749756,18.363998602457478,16.684012964008712,17.441556134613716,49.297324949677964
jazz,-263.7667236328125,95.25680541992188,24.8682918548584,19.9895076751709,11.79328727722168,9.745975494384766,3.808070421218872,5.026352882385254,-0.49168112874031067,5.424978733062744,4.545010566711426,5.448034286499023,7.681972980499268,8.1500825881958,3.6822705268859863,2.3378987312316895,-0.3563085198402405,1.3511830568313599,-1.9658523797988892,0.42174720764160156,0.30291667580604553,0.3383374810218811,0.4669240415096283,0.396273672580719,0.3564445674419403,0.30243566632270813,0.2242455780506134,0.25746849179267883,0.29486849904060364,0.32161054015159607,0.26912921667099,0.29357072710990906,18.82800632101296,15.265677362032493,19.63449949077731,20.66014487093618,19.771672315086615,17.153900100131015,46.927343975633065
jazz,-147.19882202148438,65.3344497680664,-1.2794922590255737,25.391767501831055,7.964926719665527,3.2344725131988525,0.09982597827911377,4.588172912597656,-3.591923236846924,5.811546325683594,2.9134323596954346,7.059233665466309,3.4957754611968994,8.212879180908203,3.469728946685791,1.1626311540603638,-2.4144647121429443,-0.1306920349597931,-1.6817700862884521,2.935603141784668,0.3228771984577179,0.2840781807899475,0.3456042408943176,0.3178345561027527,0.3795669972896576,0.3092212378978729,0.235121950507164,0.272006630897522,0.23473763465881348,0.2778559923171997,0.21268387138843536,0.255493700504303,17.728092424791765,15.779884805580489,20.74134943112718,21.264015587958884,21.639432198231585,20.748672327009935,48.73662088368127
jazz,-240.95509338378906,76.49134826660156,26.836933135986328,21.878742218017578,7.790356636047363,6.556066036224365,3.6054229736328125,7.127798080444336,-1.7911550998687744,5.163272857666016,2.766751289367676,6.042726516723633,7.917937278747559,10.877387046813965,7.119756698608398,1.3286784887313843,-3.656388759613037,-0.2180013209581375,-3.6772241592407227,0.6492379903793335,0.4051896631717682,0.36473050713539124,0.46986329555511475,0.41986361145973206,0.3614380657672882,0.28536731004714966,0.22123999893665314,0.2550411522388458,0.2867571711540222,0.3391501009464264,0.32799088954925537,0.417458713054657,18.312178276016905,14.604384068924254,18.54042341753563,18.74799330586436,18.577454197608226,17.85710443724144,47.1525910837058
jazz,-279.70770263671875,128.52932739257812,47.804100036621094,16.869422912597656,10.819110870361328,16.03830337524414,2.7965078353881836,0.4886246919631958,-6.1935272216796875,-5.454230308532715,-7.569567680358887,-1.8154528141021729,-3.121537685394287,-5.443323612213135,-9.256500244140625,-5.9052581787109375,-5.164731502532959,-0.12953078746795654,2.2418553829193115,1.774951457977295,0.2638615369796753,0.18443934619426727,0.30382776260375977,0.27636852860450745,0.4956778287887573,0.27828270196914673,0.23474286496639252,0.29018470644950867,0.17190563678741455,0.23290444910526276,0.12352807819843292,0.1709326207637787,18.787915408659483,18.862184066520623,23.888574030332084,23.41680733829166,20.833372966978683,15.563885193537535,44.73538239184914
